message,label
"Забыл пароль, сбросьте срочно.",account
"Не могу зайти в аккаунт, пишет ""неверный логин"".",account
"Срочно сбросьте почту, старый адрес недоступен.",account
"Аккаунт заблокирован, нужна разблокировка.",account
Не приходит письмо с подтверждением на почту.,account
"Сменил пароль, но войти всё равно не могу.",account
"Двухфакторная аутентификация не работает, код не приходит.",account
Не могу восстановить доступ через секретный вопрос.,account
"Профиль не отображается после входа, только белый экран.",account
Ошибка при попытке привязать новый номер телефона.,account
"Забыл пароль, а резервная почта не указана.",account
"Не могу зайти, система пишет ""аккаунт не найден"".",account
"Срочно сбросьте почту, старый ящик удалён.",account
Аккаунт заблокирован за подозрительную активность.,account
Не приходит письмо с восстановлением пароля.,account
"Сменил пароль, но система его не принимает.",account
Двухфакторная аутентификация зависла на этапе ввода кода.,account
"Не могу восстановить доступ, секретный вопрос не помню.",account
"После входа профиль пустой, данных нет.",account
Ошибка при смене привязанного номера телефона.,account
"Забыл пароль, а привязанный номер телефона недоступен.",account
"Не могу зайти, пишет ""ваша сессия истекла"".",account
"Срочно сбросьте почту, доступ к старой почте утерян.",account
"Аккаунт заблокирован, хотя я ничего не нарушал.",account
Не приходит письмо с подтверждением регистрации.,account
"Сменил пароль, но войти можно только с другого устройства.",account
Двухфакторная аутентификация не включается в настройках.,account
Не могу восстановить доступ через резервную почту.,account
"Профиль не загружается, только крутится индикатор.",account
Ошибка при попытке сменить привязанный e-mail.,account
"Забыл пароль, а функция восстановления отключена.",account
"Не могу зайти, система пишет ""слишком много попыток"".",account
"Срочно сбросьте почту, старая почта взломана.",account
"Аккаунт заблокирован по ошибке, прошу разблокировать.",account
Не приходит письмо с инструкциями по восстановлению.,account
"Сменил пароль, но система требует старый пароль.",account
Двухфакторная аутентификация не отключается.,account
"Не могу восстановить доступ, контрольный вопрос не срабатывает.",account
После входа в профиль все настройки сброшены.,account
Ошибка при попытке добавить новый способ входа.,account
"Забыл пароль, а привязанный номер телефона заблокирован оператором.",account
"Не могу зайти, пишет ""ваш аккаунт требует проверки"".",account
"Срочно сбросьте почту, старая почта больше не существует.",account
"Аккаунт заблокирован за неактивность, прошу восстановить доступ.",account
Не приходит письмо с подтверждением смены пароля.,account
"Записала пароль на листочек и потеряла, как мне войти?",account
"Не могу вспомнить логин, подскажите, как восстановить?",account
"Как мне войти в личный кабинет, если не приходит SMS?",account
"Забыл пароль, а внук помогал регистрироваться, его сейчас нет.",account
"Не могу найти, где нажать ""Забыли пароль?"".",account
"Пытаюсь войти, а система пишет ""неверный пароль"", хотя я всё правильно ввожу.",account
"Не приходит письмо на почту для восстановления, что делать?",account
"Секретный вопрос не помню, как теперь войти?",account
"После обновления всё поменялось, не могу найти вход.",account
"Внук сказал, что я заблокировала аккаунт, как разблокировать?",account
"Записала пароль на листочек и потеряла, как мне войти?",account
"Не могу вспомнить логин, подскажите, как восстановить?",account
"Как мне войти в личный кабинет, если не приходит SMS?",account
"Забыл пароль, а внук помогал регистрироваться, его сейчас нет.",account
"Не могу найти, где нажать ""Забыли пароль?"".",account
"Пытаюсь войти, а система пишет ""неверный пароль"", хотя я всё правильно ввожу.",account
"Не приходит письмо на почту для восстановления, что делать?",account
"Секретный вопрос не помню, как теперь войти?",account
"После обновления всё поменялось, не могу найти вход.",account
"Внук сказал, что я заблокировала аккаунт, как разблокировать?",account
"Не могу войти, пишет ""аккаунт не найден"".",account
"Забыл пароль, а номер телефона изменился.",account
Как мне восстановить доступ через электронную почту?,account
"Не могу вспомнить, какой e-mail указывала при регистрации.",account
"Внук помогал настроить, а теперь я не могу войти одна.",account
"Пытаюсь войти, а система пишет ""слишком много попыток"".",account
Не приходит SMS с кодом подтверждения.,account
"Забыл пароль, а резервной почты нет.",account
"Как мне изменить пароль, если я не могу войти?",account
Не могу найти кнопку входа на сайте.,account
После ввода пароля страница просто обновляется.,account
"Внук сказал, что я неправильно ввожу логин.",account
"Не могу вспомнить, какой пароль устанавливала.",account
Как мне восстановить доступ к личному кабинету?,account
"Забыл пароль, а секретный вопрос не помню.",account
"Не могу войти, пишет ""ваша сессия истекла"".",account
"Внук помогал зарегистрироваться, а теперь я не могу войти.",account
Не приходит письмо с инструкциями на почту.,account
"Забыл пароль, а номер телефона недоступен.",account
Как мне восстановить доступ через SMS?,account
"Не могу вспомнить, какой e-mail использовала.",account
"Внук сказал, что я заблокировала аккаунт по ошибке.",account
"Не могу войти, пишет ""неверный логин или пароль"".",account
"Забыл пароль, а резервной почты нет.",account
"Снесите аккаунт, не хочу больше пользоваться.",account
"Чекайте почту, не приходит письмо с подтверждением.",account
"Логин не робит, не могу войти уже сутки.",account
"Забыл пароль, а номер телефона сменился, помогите.",account
"Аккаунт взломали, нужно срочно восстановить доступ.",account
"Не могу привязать новую почту, система выдаёт ошибку.",account
"Двухфакторная аутентификация не включается, чекайте.",account
"Старый e-mail недоступен, нужно срочно сменить почту.",account
"Не приходит SMS с кодом восстановления, что за дичь?",account
"Аккаунт заблокировали без причины, чекайте разблок.",account
"Снесите аккаунт, всё равно не пользуюсь.",account
"Чекайте почту, письмо с подтверждением не пришло.",account
"Логин не робит, не могу войти.",account
"Забыл пароль, а резервной почты нет.",account
"Аккаунт взломали, нужно восстановить доступ.",account
"Не могу привязать новую почту, система выдаёт ошибку.",account
Двухфакторная аутентификация не включается.,account
"Старый e-mail недоступен, нужно сменить почту.",account
Не приходит SMS с кодом восстановления.,account
Аккаунт заблокировали без причины.,account
Не могу вспомнить секретный вопрос для восстановления.,account
После обновления приложение не принимает пароль.,account
Хочу удалить все данные о себе из системы.,account
"Не могу войти через соцсети, пишет ""ошибка авторизации"".",account
"Пытаюсь сменить пароль, но система требует старый, который я не помню.",account
"Аккаунт заблокировали за подозрительную активность, хотя я ничего не делал.",account
Не приходит письмо с инструкциями на новую почту.,account
Логин не робит после смены устройства.,account
"Забыл пароль, а номер телефона заблокирован оператором.",account
Хочу отвязать номер телефона от аккаунта.,account
Не могу восстановить доступ через резервную почту.,account
"Аккаунт заблокировали за неактивность, прошу разблокировать.",account
Не приходит SMS с кодом подтверждения на новый номер.,account
"Логин не робит, пишет ""пользователь не найден"".",account
"Забыл пароль, а контрольный вопрос не помню.",account
"Хочу сменить e-mail, но система выдаёт ошибку.",account
"Аккаунт заблокировали, хотя я оплатил подписку.",account
"Не могу войти через Google, пишет ""ошибка аутентификации"".",account
"Пытаюсь восстановить доступ, но система пишет ""слишком много попыток"".",account
Логин не робит после обновления браузера.,account
"Забыл пароль, а резервной почты нет и SMS не приходит.",account
Хочу удалить аккаунт и все данные о себе.,account
"Не могу войти через Facebook, пишет ""неверный токен"".",account
"Аккаунт заблокировали по ошибке, прошу восстановить доступ.",account
"Моя почта не идти, письмо не приходить.",account
"Пароль забыть, как делать новый?",account
"Заходить нельзя, система писать ""ошибка"".",account
"Не мочь вспомнить логин, как входить?",account
Письмо с подтверждением не приходить на почту.,account
"Старый e-mail не работать, как менять почта?",account
"Забыл пароль, номер телефона не отвечать.",account
"Не понимать, где кнопка ""Забыли пароль?"".",account
"Система писать ""неверный пароль"", я всё правильно вводить.",account
"Не приходит SMS с кодом, что делать?",account
"Моя почта не идти, письмо не приходить.",account
"Пароль забыть, как делать новый?",account
"Заходить нельзя, система писать ""ошибка"".",account
"Не мочь вспомнить логин, как входить?",account
Письмо с подтверждением не приходить на почту.,account
"Старый e-mail не работать, как менять почта?",account
"Забыл пароль, номер телефона не отвечать.",account
"Не понимать, где кнопка ""Забыли пароль?"".",account
"Система писать ""неверный пароль"", я всё правильно вводить.",account
"Не приходит SMS с кодом, что делать?",account
"Не могу войти, пишет ""аккаунт не найден"".",account
"Забыл пароль, а резервной почты нет.",account
Как мне восстановить доступ через электронную почту?,account
"Не могу вспомнить, какой e-mail указывала при регистрации.",account
"Внук помогал настроить, а теперь я не могу войти одна.",account
"Пытаюсь войти, а система пишет ""слишком много попыток"".",account
Не приходит SMS с кодом подтверждения.,account
"Забыл пароль, а номер телефона изменился.",account
"Как мне изменить пароль, если я не могу войти?",account
Не могу найти кнопку входа на сайте.,account
После ввода пароля страница просто обновляется.,account
"Внук сказал, что я неправильно ввожу логин.",account
"Не могу вспомнить, какой пароль устанавливала.",account
Как мне восстановить доступ к личному кабинету?,account
"Забыл пароль, а секретный вопрос не помню.",account
"Не могу войти, пишет ""ваша сессия истекла"".",account
"Внук помогал зарегистрироваться, а теперь я не могу войти.",account
Не приходит письмо с инструкциями на почту.,account
"Забыл пароль, а номер телефона недоступен.",account
Как мне восстановить доступ через SMS?,account
"Не могу вспомнить, какой e-mail использовала.",account
"Внук сказал, что я заблокировала аккаунт по ошибке.",account
"Не могу войти, пишет ""неверный логин или пароль"".",account
"Забыл пароль, а резервной почты нет.",account
Вы продаете шкафы?,other
Это доставка пиццы?,other
Мне нужен ремонт холодильника.,other
Можно записаться на стрижку?,other
Вы продаёте билеты на концерт?,other
Это такси? Мне нужно заказать машину.,other
Можно узнать расписание поездов?,other
Вы продаёте цветы?,other
Это ветеринарная клиника? У меня заболела кошка.,other
Можно записаться на маникюр?,other
Вы продаёте квартиры?,other
Это химчистка? Мне нужно почистить пальто.,other
Можно узнать стоимость авиабилетов?,other
Вы продаёте запчасти для авто?,other
Это школа танцев? Я хочу записаться.,other
Можно заказать торт на день рождения?,other
Вы продаёте книги?,other
Это автосервис? Мне нужен ремонт.,other
Можно узнать график работы бассейна?,other
Вы продаёте спортивное питание?,other
Это аптека? Мне нужны лекарства.,other
Можно записаться на курсы английского?,other
Вы продаёте мебель для офиса?,other
Это клининговая компания? Мне нужна уборка.,other
Можно узнать стоимость аренды зала?,other
Вы продаёте технику для дома?,other
Это фотоателье? Мне нужны фотографии.,other
Можно записаться на массаж?,other
Вы продаёте строительные материалы?,other
Это банк? Мне нужно открыть счёт.,other
Можно узнать расписание автобусов?,other
Вы продаёте одежду для детей?,other
Это фитнес-клуб? Я хочу купить абонемент.,other
Можно заказать услуги сантехника?,other
Вы продаёте электронику?,other
Это туристическое агентство? Мне нужен тур.,other
Можно узнать стоимость услуг юриста?,other
Вы продаёте товары для животных?,other
Это салон красоты? Я хочу записаться на процедуру.,other
Можно заказать услуги электрика?,other
Вы продаёте инструменты для ремонта?,other
Это интернет-магазин? Я хочу сделать заказ.,other
Можно узнать стоимость аренды автомобиля?,other
Вы продаёте посуду для кухни?,other
Как дела у внуков?,other
"Погода сегодня хорошая, не правда ли?",other
"А вы не знаете, когда пенсию принесут?",other
Вчера по телевизору интересный фильм показывали.,other
"У меня котик заболел, переживаю.",other
"А вы не подскажете, как борщ правильно варить?",other
"Внук обещал приехать на выходных, жду.",other
"В магазине сегодня скидки были, купила хлеб.",other
"А вы не знаете, что с интернетом? Не работает.",other
"У соседки день рождения, пойду поздравлять.",other
Как у вас дела? Давно не общались.,other
"А вы не знаете, когда аптека закрывается?",other
"Вчера внучка звонила, рассказывает про учёбу.",other
"А вы не подскажете, как цветы поливать правильно?",other
"У меня давление сегодня скачет, не знаю, что делать.",other
"А вы не знаете, где можно очки починить?",other
"В магазине хлеб свежий привезли, купила буханку.",other
"А вы не подскажете, как телевизор настроить?",other
"У меня спина болит, наверное, погода меняется.",other
"А вы не знаете, когда мусор вывозят?",other
"Внук обещал помочь с компьютером, жду его.",other
"А вы не подскажете, как пирог испечь?",other
"У меня телефон звонит, а я не слышу.",other
"А вы не знаете, где можно пряжу купить?",other
"Вчера в парке гуляла, красиво там.",other
"А вы не подскажете, как таблетки принимать?",other
"У меня кошка пропала, ищу её.",other
"А вы не знаете, когда поликлиника работает?",other
"Внучка вязать научила, теперь носки вяжу.",other
"А вы не подскажете, как суп сварить?",other
У меня телевизор плохо показывает.,other
"А вы не знаете, где можно очки заказать?",other
"Вчера соседка заходила, чай пили.",other
"А вы не подскажете, как почту проверить?",other
"У меня ноги болят, наверное, к дождю.",other
"А вы не знаете, где можно хлеб купить?",other
Внук обещал привезти лекарства.,other
"А вы не подскажете, как борщ варить?",other
У меня телефон не заряжается.,other
"А вы не знаете, где можно пряжу купить?",other
"Вчера в парке гуляла, красиво там.",other
"А вы не подскажете, как таблетки принимать?",other
"У меня кошка пропала, ищу её.",other
чилю на изи,other
крашусь по фуллу,other
"рил ток, сасный кринж",other
"скибиди вайб, топчик",other
"жиза, абуз какой-то",other
"омг, чел, это просто скип",other
"сасный контент, но кринж зашкаливает",other
"флексить на макс, но не зашло",other
"это просто дичь, кринжанул жестко",other
"чекни мои скиллы, я на изи рофлю",other
"вайб чек, крашусь по фуллу, сторис огонь",other
"топчик контент, но кринж тоже в деле, рофлю на изи",other
"жиза, братан, абуз какой-то, чекай мои мемасы",other
"омг, чел, это просто скип, не чекай этот треш",other
"сасный контент, но кринж зашкаливает, флексить не вышло",other
"флексить на макс, но не зашло, чекай другие скиллы",other
"это просто дичь, кринжанул жестко, но рофл зачётный",other
"чекни мои скиллы, я на изи рофлю, крашусь по фуллу",other
"рил ток, крашусь по фуллу, скибиди вайб в деле",other
"скибиди вайб, это просто топчик, жиза на изи",other
"жиза, братан, абуз какой-то, омг, чел",other
"омг, чел, это просто скип, не чекай этот кринж",other
"сасный контент, но кринж зашкаливает, флексить не вышло",other
"флексить на макс, но не зашло, чекай другие скиллы",other
"это просто дичь, кринжанул жестко, но рофл зачётный",other
"чекни мои скиллы, я на изи рофлю, крашусь по фуллу",other
"рил ток, крашусь по фуллу, скибиди вайб в деле",other
"скибиди вайб, это просто топчик, жиза на изи",other
"жиза, братан, абуз какой-то, омг, чел",other
"омг, чел, это просто скип, не чекай этот кринж",other
"сасный контент, но кринж зашкаливает, флексить не вышло",other
"флексить на макс, но не зашло, чекай другие скиллы",other
"это просто дичь, кринжанул жестко, но рофл зачётный",other
"чекни мои скиллы, я на изи рофлю, крашусь по фуллу",other
"рил ток, крашусь по фуллу, скибиди вайб в деле",other
"скибиди вайб, это просто топчик, жиза на изи",other
"жиза, братан, абуз какой-то, омг, чел",other
"омг, чел, это просто скип, не чекай этот кринж",other
"сасный контент, но кринж зашкаливает, флексить не вышло",other
"флексить на макс, но не зашло, чекай другие скиллы",other
"это просто дичь, кринжанул жестко, но рофл зачётный",other
"чекни мои скиллы, я на изи рофлю, крашусь по фуллу",other
"рил ток, крашусь по фуллу, скибиди вайб в деле",other
"Купить дешево, очень выгодно!",other
"Быстрый деньги, работа онлайн!",other
"Ссылка клик, получать бонус!",other
"Акция! Скидка 50%, только сегодня!",other
"Кредит без отказа, одобрение за 5 минут!",other
"Заработать дома, без опыта, быстрый старт!",other
"Бесплатный подарок при регистрации, ссылка клик!",other
"Товар из Европы, доставка быстрая, купить сейчас!",other
"Инвестировать мало, получать много, быстрый деньги!",other
"Скидка для новых клиентов, регистрация здесь!",other
"Купить дешево, очень выгодно!",other
"Быстрый деньги, работа онлайн!",other
"Ссылка клик, получать бонус!",other
"Акция! Скидка 50%, только сегодня!",other
"Кредит без отказа, одобрение за 5 минут!",other
"Заработать дома, без опыта, быстрый старт!",other
"Бесплатный подарок при регистрации, ссылка клик!",other
"Товар из Европы, доставка быстрая, купить сейчас!",other
"Инвестировать мало, получать много, быстрый деньги!",other
"Скидка для новых клиентов, регистрация здесь!",other
"Купить дешево, качество высокое!",other
"Быстрый деньги, выплаты каждый день!",other
"Ссылка клик, получить доступ к курсу!",other
Акция! Купи один — второй бесплатно!,other
"Кредит без справок, оформление онлайн!",other
"Заработать в интернете, обучение включено!",other
"Бесплатный вебинар, ссылка клик для участия!",other
"Товар из Китая, доставка за 3 дня!",other
"Инвестировать в акции, быстрый деньги гарантирован!",other
"Скидка для друзей, регистрация по ссылке!",other
"Купить дешево, ассортимент большой!",other
"Быстрый деньги, работа в удобное время!",other
"Ссылка клик, получить скидку на заказ!",other
Акция! Подарок при покупке от 1000 рублей!,other
"Кредит без процентов, первый месяц бесплатно!",other
"Заработать на опросах, выплаты сразу!",other
"Бесплатный пробник товара, ссылка клик!",other
"Товар из США, доставка надежная!",other
"Инвестировать в криптовалюту, быстрый деньги возможен!",other
"Скидка на второй товар, регистрация здесь!",other
"Купить дешево, доставка бесплатная!",other
"Быстрый деньги, работа без вложений!",other
"Ссылка клик, получить доступ к эксклюзиву!",other
Акция! Купи три — четвертый в подарок!,other
"ГДЕ ЧЕК?! Я оплатил услугу, а подтверждения нет уже час!",billing
ДЕНЬГИ СНЯЛИ дважды за одну подписку! Верните лишнее списание!,billing
"ВЕРНИТЕ БАБКИ! Оплата не прошла, а средства заблокировали!",billing
"Почему мне не начислили кэшбэк? Чек есть, а бонусов нет!",billing
"Списали больше, чем указано в тарифе! Разберитесь немедленно!",billing
"Автоплатеж сработал, хотя я его отключал! Верните деньги!",billing
"Оплата по терминалу не прошла, а деньги с карты ушли!",billing
"Где мой возврат? Прошло уже 5 дней, а денег нет!",billing
"Списали комиссию, хотя её быть не должно! Исправьте ошибку!",billing
"Оплата не прошла, но лимит по карте исчерпан! Разблокируйте срочно!",billing
"Чек не пришёл на почту, а оплата прошла! Отправьте документ!",billing
Двойное списание за одну и ту же услугу! Срочно верните деньги!,billing
"Почему с меня списали больше, чем в чеке? Разберитесь!",billing
"Оплата не проходит, система выдаёт ошибку! Почините немедленно!",billing
"ВЕРНИТЕ БАБКИ! Списали за услугу, которой я не пользовался!",billing
"Где мой чек? Оплатил, а подтверждения нет!",billing
"Деньги сняли, а услуга не активирована! Исправьте ситуацию!",billing
Списали сумму дважды! Срочно верните лишнее!,billing
"Оплата не прошла, а деньги с карты ушли! Разберитесь!",billing
"Почему мне не начислили кэшбэк? Чек есть, а бонусов нет!",billing
"Списали больше, чем в тарифе! Требую возврат разницы!",billing
"Автоплатеж сработал, хотя отключен! Верните деньги!",billing
"Оплата по терминалу не прошла, а деньги ушли!",billing
Возврат не поступил уже неделю! Где мои деньги?,billing
Списали комиссию незаконно! Требую возврат!,billing
"Оплата не проходит, лимит исчерпан! Разблокируйте карту!",billing
"Чек не пришёл, а оплата прошла! Отправьте документ!",billing
Двойное списание за одну услугу! Верните лишнее!,billing
"Списали больше, чем в чеке! Разберитесь!",billing
"Оплата не проходит, система выдаёт ошибку! Почините!",billing
"Списали за услугу, которой не пользовался! Верните деньги!",billing
"Чек не пришёл, подтверждение отсутствует!",billing
"Деньги сняли, услуга не активна! Исправьте!",billing
Двойное списание! Срочно верните лишнее!,billing
"Оплата не прошла, деньги ушли с карты! Разберитесь!",billing
"Кэшбэк не начислили, чек есть! Исправьте ошибку!",billing
Списали больше тарифа! Требую возврат разницы!,billing
"Автоплатеж сработал, хотя отключен! Верните деньги!",billing
"Оплата по терминалу не прошла, деньги ушли!",billing
Возврат не поступил неделю! Где деньги?,billing
Незаконная комиссия! Требую возврат!,billing
"Оплата не проходит, лимит исчерпан! Разблокируйте карту!",billing
"Чек не пришёл, оплата прошла! Отправьте документ!",billing
Куда делись деньги?!,billing
Списали лишнее!,billing
Чек! Срочно!,billing
Верните разницу!,billing
Куда ушли средства?,billing
Снова ошибка!,billing
Не зачислено!,billing
Где мои деньги?!,billing
Списали без спроса!,billing
"Вчера всё было нормально, а сегодня баланс обнулился, что за чудеса?",billing
"Слушайте, у меня тут автоплатёж сработал, хотя я его отключал — верните средства.",billing
"Ой, а почему в чеке сумма не совпадает с тем, что списали с карты?",billing
"В магазине терминал выдал ошибку, а деньги с карточки всё равно ушли — как такое возможно?",billing
"Сняли за подписку, которую я не оформлял — отмените немедленно.",billing
"Пытаюсь оплатить услугу, но система выдаёт какую-то абракадабру вместо подтверждения.",billing
"Деньги за интернет сняли, а связь так и не появилась — это уже перебор.",billing
"Вчера пополнил счёт, а сегодня вижу минус — куда пропали средства?",billing
"Списали комиссию, хотя по тарифу её быть не должно — разберитесь.",billing
"Не могу найти квитанцию об оплате в почте, а платёж прошёл — отправьте повторно.",billing
"Уважаемый оператор, не могли бы вы пояснить, почему с меня списали сумму дважды за одну и ту же услугу?",billing
"Прошу уточнить, по какой причине мне не начислили обещанный кэшбэк, хотя все условия выполнены.",billing
"Подскажите, пожалуйста, почему в чеке указана одна сумма, а списали другую?",billing
"Не могли бы вы проверить, почему платёж за телефон прошёл, а услуга не активирована?",billing
"У меня возник вопрос по поводу комиссии: согласно условиям, она не должна была взиматься.",billing
"Прошу разъяснить, почему возврат средств за отменённую услугу до сих пор не поступил.",billing
"Не могли бы вы проверить статус моего платежа? Квитанция есть, а зачисления нет.",billing
"Уважаемая поддержка, подскажите, почему автоплатёж сработал, если я его отключил?",billing
"Прошу разобраться, почему с меня списали больше, чем указано в тарифе.",billing
Не могли бы вы отправить мне электронную копию чека? Оригинал утерян.,billing
"Вы что творите?! Деньги сняли, а услуга не предоставлена!",billing
Немедленно верните средства! Это просто грабёж среди бела дня!,billing
Какого чёрта двойное списание?! Я буду жаловаться!,billing
Верните мои деньги! Я не подписывался на эти услуги!,billing
Почему комиссия?! В тарифе этого нет! Требую возврат!,billing
"Вы издеваетесь?! Платёж не прошёл, а лимит исчерпан!",billing
Где мой возврат?! Прошла уже неделя!,billing
"Это беспредел! Списали за то, чем я не пользовался!",billing
Чек не дали! Как мне теперь доказать оплату?!,billing
"Верните разницу! Сняли больше, чем положено!",billing
"Ну конечно, автоплатёж сработал именно тогда, когда я его отключил. Гениально.",billing
"Опять комиссия. Видимо, это ваш любимый способ заработка.",billing
"Двойное списание. Видимо, у вас акция: заплати дважды — получи ничего.",billing
"Чек не прислали. Наверное, он слишком секретный.",billing
"Возврат не пришёл. Видимо, деньги решили попутешествовать без меня.",billing
"Списали за услугу, которой нет. Видимо, у вас теперь оплата за воздух.",billing
"Сумма в чеке не совпадает со списанием. Видимо, у вас своя математика.",billing
"Платёж прошёл, услуга не активна. Видимо, у вас сервис с отложенным эффектом.",billing
"Комиссия списана незаконно. Видимо, это ваш творческий подход к тарифам.",billing
"Автоплатёж сработал при отключённой услуге. Видимо, у вас он обладает разумом.",billing
"Возврат не поступил. Видимо, деньги застряли в параллельном измерении.",billing
"Милок, посмотри, карточка застряла в банкомате, не могу забрать!",billing
"Пенсию списали лишнее, на книжке меньше стало, что делать?",billing
"Чек не дали на руки, а деньги сняли, как теперь доказать?",billing
"С меня дважды сняли за свет, а квитанция одна, помогите разобраться!",billing
"Внучек, не могу понять, почему за газ списали больше, чем обычно?",billing
"Карточку заблокировали, а мне лекарства покупать, что теперь делать?",billing
"Деньги за телефон сняли, а связь не работает, куда жаловаться?",billing
"Милок, посмотри, почему в чеке сумма не совпадает с тем, что на экране?",billing
"Пенсию не зачислили вовремя, уже третий день жду, куда пропали деньги?",billing
"Сняли за подписку, а я её не оформлял, как отменить?",billing
"Чек потеряли, а мне нужно для отчётности, можно восстановить?",billing
"Деньги за интернет сняли, а он не работает, что за беда?",billing
"Карточка не читается в магазине, а дома всё нормально, почему так?",billing
"Сняли за услугу, которой не пользовался, как вернуть?",billing
"Милок, посмотри, почему в квитанции за квартиру сумма больше?",billing
"Пенсию списали, а на счёт не зачислили, где деньги?",billing
"Чек не пробили, а деньги взяли, как теперь быть?",billing
"Сняли за телефон дважды, а разговор был один, разберитесь!",billing
"Карточку заблокировали по ошибке, как разблокировать?",billing
Транза улетела в никуда!,billing
Заскамило на бабки!,billing
"Дабл спис, кринж!",billing
"Кэшбэк? Не, не слышали.",billing
Автоплатеж воскрес!,billing
Терминал глюканул.,billing
Возврат завис.,billing
Комиссия из ниоткуда.,billing
"Лимит исчерпан, чекай!",billing
"Чилил на кассе, терминал выдал ошибку, а бабки с карты списались. Что за дичь?",billing
"Вчера всё было чётко, а сегодня стейбл не прошёл и транза висит уже час. Разберитесь.",billing
"Слушайте, у меня тут подписка не отписалась, хотя я всё сделал по гайду. Заскамило на бабки.",billing
"Прикреплял фото для заказа, приложение крашнулось, а деньги списались дважды. Это жиза или как?",billing
Не приходит пуш-уведомление о возврате уже сутки. Где мои стейблы?,billing
После обновления аппы — бесконечная загрузка на этапе оплаты. Чекайте сервак.,billing
"Совершал покупку в три ночи, чек на почту так и не упал. Отправьте доки.",billing
"Пытался оплатить через Apple Pay, транзакция не прошла, а лимит по карте исчерпан. Разблокируйте.",billing
"Вылетело при попытке добавить адрес доставки, а платёж прошёл. Верните разницу.",billing
