message,label
"-30% по промокоду не применились, списали полную сумму. Исправьте.",billing
"Уважаемый саппорт, не могли бы вы пояснить, почему кэшбэк не начислен? Все условия выполнены.",billing
"Прошу уточнить, по какой причине с меня списали комиссию, если в тарифе её нет?",billing
"Подскажите, пожалуйста, почему возврат средств за отменённый заказ до сих пор не поступил?",billing
"Не могли бы вы проверить статус транзакции? Квитанция есть, а зачисления нет.",billing
"У меня вопрос по автоплатежу: он сработал, хотя я его отключил.",billing
"Прошу разобраться, почему сумма в чеке отличается от списанной с карты.",billing
Не могли бы вы отправить электронную копию чека? Оригинал не пришёл.,billing
"Уважаемая поддержка, подскажите, почему платёж за сервис прошёл, а доступ не предоставлен?",billing
"Прошу пояснить, почему с меня списали больше, чем указано в корзине.",billing
"Не могли бы вы проверить, почему возврат не отображается в личном кабинете?",billing
"Вы что творите?! Транза улетела, а товара нет!",billing
Немедленно верните бабки! Это просто скам!,billing
Какого фига дабл спис?! Я буду жаловаться!,billing
Верните мои стейблы! Я не подписывался на этот треш!,billing
Почему комиссия?! В тарифе этого нет! Требую возврат!,billing
"Вы издеваетесь?! Платёж не прошёл, а лимит исчерпан!",billing
Где мой возврат?! Прошла уже неделя!,billing
"Это беспредел! Списали за то, чем я не пользовался!",billing
Чек не дали! Как мне теперь доказать оплату?!,billing
"Верните разницу! Сняли больше, чем положено!",billing
"Ну конечно, автоплатёж сработал именно тогда, когда я его отключил. Гениально.",billing
"Опять комиссия. Видимо, это ваш любимый способ заработка.",billing
"Дабл спис. Видимо, у вас акция: заплати дважды — получи ничего.",billing
"Чек не прислали. Наверное, он слишком секретный.",billing
"Возврат не пришёл. Видимо, деньги решили попутешествовать без меня.",billing
"Списали за услугу, которой нет. Видимо, у вас теперь оплата за воздух.",billing
"Сумма в чеке не совпадает со списанием. Видимо, у вас своя математика.",billing
"Платёж прошёл, услуга не активна. Видимо, у вас сервис с отложенным эффектом.",billing
"Комиссия списана незаконно. Видимо, это ваш творческий подход к тарифам.",billing
"Автоплатёж сработал при отключённой услуге. Видимо, у вас он обладает разумом.",billing
"Возврат не поступил. Видимо, деньги застряли в параллельном измерении.",billing
"Я платить карта, но нет покупка, где мой товар?",billing
"Вернуть мой монета обратно, списание ошибка!",billing
"Чек не приходить, я платить, где документ?",billing
"Двойной списание быть, я не покупать два раза!",billing
"Карта блокировать, я не мочь платить, помогите!",billing
"Сумма больше, чем в цена, почему так?",billing
"Я платить, но приложение писать ""ошибка платежа"".",billing
"Возврат не приходить, я ждать долго уже.",billing
"Комиссия брать, я не понимать за что.",billing
"Автоплатеж работать, я его не включать!",billing
"Терминал не работать, я платить, деньги уйти.",billing
"Я платить за подписка, но не получать услуга.",billing
"Чек потерять, я платить, как доказать?",billing
"Списать больше, чем в корзина, почему?",billing
"Я платить, но заказ отменять, вернуть деньги!",billing
"Карта не читать терминал, я платить наличный, где чек?",billing
"Я платить, но бонус не начислять, почему?",billing
"Возврат идти долго, я ждать уже неделя.",billing
"Я платить, но лимит исчерпать, разблокировать!",billing
Сумма в чек не совпадать со списание.,billing
"Я платить за интернет, но связь не работать.",billing
"Вернуть мой монета, я платить за услуга не получать.",billing
"Чек не приходить на почта, я платить, где он?",billing
"Я платить, но приложение писать ""ошибка"".",billing
"Возврат не приходить, я ждать долго.",billing
"Я платить за интернет, но связь нет.",billing
"Вернуть мой монета, я платить за ничего.",billing
Чек не приходить.,billing
Двойной списание!,billing
Карта блокировать!,billing
Где курьер? Я ухожу через 5 минут!,delivery
Почему опоздание? Время доставки вышло!,delivery
"Курьер не звонит, статус «в пути» уже час!",delivery
"Мне нужно срочно забрать заказ, где он?",delivery
"Доставка задерживается, у меня встреча!",delivery
"Курьер приехал не по адресу, что делать?",delivery
"Заказ не привезли, статус «доставлен» — ошибка!",delivery
Где мой заказ? Номер отслеживания не работает.,delivery
"Курьер не может найти мой офис, помогите!",delivery
"Доставка опоздала на час, это недопустимо!",delivery
"Мне нужно перенести время доставки, срочно!",delivery
"Курьер не отвечает на звонки, где заказ?",delivery
"Заказ привезли не полностью, что с остальным?",delivery
"Доставка задерживается, а мне нужно уезжать.",delivery
"Курьер приехал раньше, меня нет на месте.",delivery
Где мой заказ? Статус не обновляется.,delivery
"Курьер не может дозвониться, а я жду.",delivery
"Доставка опоздала, у меня планы.",delivery
"Заказ привезли, но не тот товар.",delivery
"Курьер не приехал, хотя статус «доставлен».",delivery
Где курьер? Мне нужно срочно уезжать.,delivery
Почему доставка опоздала? У меня встреча.,delivery
"Курьер не звонит, статус «в пути» уже час.",delivery
Мне нужно срочно забрать заказ.,delivery
"Доставка задерживается, у меня планы.",delivery
Курьер приехал не по адресу.,delivery
"Заказ не привезли, статус «доставлен» — ошибка.",delivery
Где мой заказ? Номер отслеживания не работает.,delivery
Курьер не может найти мой офис.,delivery
Доставка опоздала на час.,delivery
Мне нужно перенести время доставки.,delivery
Курьер не отвечает на звонки.,delivery
Заказ привезли не полностью.,delivery
"Доставка задерживается, а мне нужно уезжать.",delivery
"Курьер приехал раньше, меня нет на месте.",delivery
Где мой заказ? Статус не обновляется.,delivery
Курьер не может дозвониться.,delivery
"Доставка опоздала, у меня планы.",delivery
"Заказ привезли, но не тот товар.",delivery
"Курьер не приехал, хотя статус «доставлен».",delivery
Где курьер? Я жду уже полчаса.,delivery
Почему доставка задерживается? У меня совещание.,delivery
Курьер не может найти вход в здание.,delivery
Заказ привезли с повреждениями.,delivery
"Доставка опоздала, мне нужно уезжать.",delivery
"Курьер был такой вежливый, но коробка помята, продукты рассыпались.",delivery
"Заказ привезли, а я не услышала звонок, теперь не знаю, где искать курьера.",delivery
"Внук сказал, что доставка будет утром, а привезли только вечером, я волновалась.",delivery
"Курьер позвонил, а я не успела дойти до двери, он уехал, что теперь делать?",delivery
"Коробка была открыта, я боюсь, что продукты испортились.",delivery
"Привезли не то, что я заказывала, а мне уже тяжело идти в магазин.",delivery
"Курьер очень спешил, даже не попрощался, это так невежливо.",delivery
"Ждала доставку к обеду, а привезли только к ужину, всё остыло.",delivery
"Курьер оставил заказ у соседки, а я не знала, чуть не потеряла.",delivery
"Внук помог заказать, а курьер не нашёл наш подъезд, долго звонил.",delivery
"Коробка была вся мокрая, боюсь, что молоко прокисло.",delivery
"Курьер позвонил, а я в ванной была, не успела открыть.",delivery
"Привезли не все продукты из списка, что мне теперь делать?",delivery
"Заказ привезли, а чек не дали, как теперь отчитаться?",delivery
"Курьер был очень вежливый, помог донести до кухни.",delivery
"Ждала весь день, а доставка перенеслась на завтра без предупреждения.",delivery
"Коробка была порвана, я переживаю за содержимое.",delivery
"Курьер приехал раньше времени, а я ещё не готова была.",delivery
"Привезли не тот сорт яблок, а мне врач сказал есть только эти.",delivery
"Внук сказал, что заказ будет к обеду, а привезли только вечером.",delivery
"Курьер позвонил в дверь, а я не услышала, он уехал.",delivery
"Коробка была тёплой, боюсь, что продукты испортились.",delivery
"Привезли не тот хлеб, а мне нельзя другой сорт.",delivery
"Курьер был очень торопливый, даже не улыбнулся.",delivery
"Ждала доставку к чаю, а привезли только к ужину.",delivery
"Коробка была перевязана плохо, всё рассыпалось.",delivery
"Курьер оставил заказ у двери, а у нас собака во дворе.",delivery
"Привезли не тот йогурт, а я его очень ждала.",delivery
"Внук помог заказать, а курьер не нашёл наш дом.",delivery
"Слушайте, у меня тут коробка оказалась перевязана так, что продукты рассыпались по всей кухне.",delivery
"Ой, а куда делся мой заказ? Статус «доставлен», а у меня ничего нет.",delivery
"Курьер был очень вежливый, но почему-то оставил пакет у соседки, а я не знала.",delivery
"Ждала весь день у окна, а привезли только к вечеру, когда я уже собиралась уходить.",delivery
"Внук помог заказать, а курьер не нашёл наш подъезд, долго звонил и растерялся.",delivery
"Коробка была вся мокрая, боюсь, что молоко прокисло, а мне его нельзя.",delivery
"Курьер позвонил, а я в ванной была, не успела открыть, он уехал.",delivery
"Привезли не все продукты из списка, что мне теперь делать? Магазин далеко.",delivery
"Заказ привезли, а чек не дали, как теперь отчитаться перед внуком?",delivery
"Уважаемая служба доставки, не могли бы вы пояснить, почему мой заказ был доставлен с опозданием на два часа?",delivery
"Подскажите, пожалуйста, почему в заказе не хватает одного товара?",delivery
"Прошу уточнить, по какой причине курьер оставил заказ у соседки без моего согласия.",delivery
"Не могли бы вы проверить статус моего заказа? Квитанция есть, а товара нет.",delivery
У меня вопрос по доставке: почему коробка оказалась повреждённой?,delivery
"Прошу разобраться, почему привезли не тот сорт яблок, как в заказе.",delivery
Не могли бы вы отправить курьера повторно? Я не успел(а) открыть дверь.,delivery
"Уважаемая поддержка, подскажите, почему доставка была перенесена без уведомления?",delivery
"Прошу пояснить, почему в чеке указана одна сумма, а списали другую.",delivery
"Не могли бы вы проверить, почему заказ был доставлен раньше времени?",delivery
"Вы что творите?! Курьер приехал не по адресу, я полчаса объясняла дорогу!",delivery
"Немедленно верните деньги! Заказ не привезли, а статус «доставлен»!",delivery
Какого фига коробка помята?! Продукты рассыпались!,delivery
"Верните мой заказ! Привезли не то, что я заказывала!",delivery
Почему опоздали на два часа?! У меня были планы!,delivery
"Вы издеваетесь?! Курьер уехал, не дождавшись!",delivery
Где мой возврат?! Прошла уже неделя!,delivery
"Это беспредел! Открытая коробка, всё рассыпалось!",delivery
Курьер пропал с радаров!,delivery
"Завоз опаздывает, я не могу снимать!",delivery
Че за кринж с доставкой?,delivery
"Коробка помята, контент испорчен.",delivery
"Не по адресу завезли, чекайте.",delivery
"Вчера всё было чётко, а сегодня курьер пропал с радаров. Что за дичь?",delivery
"Слушайте, у меня тут завоз опаздывает уже на два часа, я не могу вести эфир!",delivery
"Че за кринж с доставкой? Привезли не тот товар, а мне для обзора нужен именно этот!",delivery
"Курьер не звонит, доставка зависла на «в пути», чекайте сервак.",delivery
"Опять не по адресу привезли, я уже устал объяснять дорогу.",delivery
"Коробка помята, контент испорчен, кринж полный, чекайте компенсацию.",delivery
"Завоз опаздывает, я не могу снимать распаковку, весь тайминг сбился.",delivery
"Курьер не может найти мой дом, чекай геолокацию, это уже третий раз!",delivery
"Доставили не то, что заказывал, чекайте возврат, мне нужен другой товар для контента.",delivery
Где мой заказ? Номер отслеживания не работает уже сутки.,delivery
"Уважаемая поддержка, не могли бы вы пояснить, почему доставка задерживается?",delivery
"Подскажите, пожалуйста, почему курьер не может найти мой адрес?",delivery
"Прошу уточнить статус моего заказа, квитанция есть, а товара нет.",delivery
"Не могли бы вы проверить, почему привезли не тот товар?",delivery
У меня вопрос по доставке: почему коробка оказалась повреждённой?,delivery
"Прошу разобраться, почему курьер не звонит перед приездом.",delivery
Не могли бы вы отправить курьера повторно? Я не успел открыть дверь.,delivery
"Уважаемая поддержка, подскажите, почему статус заказа не обновляется?",delivery
"Прошу пояснить, почему доставка была перенесена без уведомления.",delivery
"Не могли бы вы проверить, почему номер отслеживания не работает?",delivery
"Вы что творите?! Курьер пропал с радаров, я жду уже три часа!",delivery
"Немедленно верните деньги! Завоз опаздывает, я теряю аудиторию!",delivery
Какого фига коробка помята?! Контент испорчен!,delivery
"Верните мой заказ! Привезли не то, что я заказывал!",delivery
Почему доставка задерживается?! У меня эфир через час!,delivery
Вы издеваетесь?! Курьер не звонит и не приезжает!,delivery
"Это беспредел! Открытая коробка, всё рассыпалось!",delivery
Чека нет! Как мне теперь доказать доставку?!,delivery
"Верните разницу! Сняли больше, чем положено за доставку!",delivery
"Ну конечно, курьер приехал именно тогда, когда я ушёл на съёмку. Гениально.",delivery
"Опять коробка помята. Видимо, у вас акция: плати за доставку — получи помятые товары.",delivery
"Чек не прислали. Наверное, он слишком секретный.",delivery
"Возврат не пришёл. Видимо, посылка решила попутешествовать без меня.",delivery
Курьер не приехал.,delivery
Опоздали на час.,delivery
Коробка повреждена.,delivery
Не тот товар.,delivery
"Дом нет курьер, где мой заказ?",delivery
"Еда холодный приехать, я не кушать!",delivery
Заказ где найти? Номер не работать!,delivery
"Курьер звонить, я не понимать, что он хотеть.",delivery
"Адрес писать правильно, но курьер не найти дом.",delivery
"Я ждать час, курьер не приехать, что делать?",delivery
"Еда не вкусный, я хотеть вернуть деньги.",delivery
"Заказ привезти, но коробка открытый.",delivery
"Курьер не говорить английский, я не понимать.",delivery
"Где мой чек? Я платить, но чек не давать.",delivery
"Вчера всё было нормально, а сегодня курьер не найти мой дом, я ждать долго.",delivery
"Слушайте, у меня тут еда приехать холодный, я не могу кушать, это плохо.",delivery
"Ой, а где мой заказ? Номер отслеживания не работать, я не знать, что делать.",delivery
"Курьер звонить, я не понимать, что он хотеть, он говорить быстро.",delivery
"Адрес писать правильно, но курьер не найти дом, я объяснять много раз.",delivery
"Я ждать час, курьер не приехать, я уходить, что теперь делать?",delivery
"Еда не вкусный, я хотеть вернуть деньги, это не как в меню.",delivery
"Заказ привезти, но коробка открытый, я бояться за еда.",delivery
"Курьер не говорить английский, я не понимать, как общаться.",delivery
"Где мой чек? Я платить, но чек не давать, как доказать?",delivery
"Уважаемая поддержка, не могли бы вы пояснить, почему курьер не найти мой дом?",delivery
"Подскажите, пожалуйста, почему еда приехать холодный?",delivery
"Прошу уточнить статус моего заказа, квитанция есть, а товара нет.",delivery
"Не могли бы вы проверить, почему номер отслеживания не работать?",delivery
У меня вопрос по доставке: почему коробка открытый?,delivery
"Прошу разобраться, почему курьер не говорить английский?",delivery
Не могли бы вы отправить курьера повторно? Я не успевать открыть дверь.,delivery
"Уважаемая поддержка, подскажите, почему статус заказа не обновляется?",delivery
"Прошу пояснить, почему еда не вкусный?",delivery
"Не могли бы вы проверить, почему чек не давать?",delivery
"Вы что творить?! Курьер не найти дом, я ждать долго!",delivery
"Немедленно верните деньги! Еда холодный приехать, я не кушать!",delivery
Какого фига коробка открытый?! Я бояться за еда!,delivery
Верните мой заказ! Курьер не приехать!,delivery
Почему еда холодный?! Я хотеть горячий еда!,delivery
Вы издеваться?! Номер отслеживания не работать!,delivery
Где мой возврат?! Прошла уже неделя!,delivery
Это беспредел! Курьер не говорить английский!,delivery
Чека нет! Как мне теперь доказать доставка?!,delivery
"Верните разницу! Сняли больше, чем положено за доставка!",delivery
"Ну конечно, курьер приехать именно тогда, когда я уходить. Гениально.",delivery
"Опять коробка открытый. Видимо, у вас акция: плати за доставка — получи открытый коробка.",delivery
"Чек не прислать. Наверное, он слишком секретный.",delivery
"Возврат не прийти. Видимо, посылка решить попутешествовать без меня.",delivery
"Списали за доставка, а курьер не приехать. Видимо, у вас теперь оплата за ожидание.",delivery
"Сумма в чек не совпадать со списание. Видимо, у вас своя математика.",delivery
"Платёж пройти, заказ не доставлен. Видимо, у вас сервис с отложенный эффект.",delivery
"Компьютер зависает на этапе загрузки, не могу работать.",tech
"Принтер выдает ошибку ""замятие бумаги"", ничего не печатает.",tech
"Экран стал синим, выскочила ошибка 0x0000007B.",tech
"Файлы Excel не открываются, пишет ""поврежден"".",tech
"Интернет полностью пропал, даже мессенджеры не работают.",tech
После обновления Windows исчез звук.,tech
"Не могу войти в корпоративную почту, пишет неверный пароль.",tech
"МФУ сканирует только в черно-белом режиме, цвет не работает.",tech
Excel вылетает при открытии больших таблиц.,tech
"Монитор мерцает каждые несколько секунд, работать невозможно.",tech
"Не могу отправить письмо, ошибка SMTP сервера.",tech
Клавиатура не реагирует после выхода из спящего режима.,tech
"Не удается подключиться к VPN, ошибка 800.",tech
Word закрывается при попытке сохранить документ.,tech
Экран стал черным после обновления драйверов.,tech
"Веб-камера не работает в Teams, коллеги меня не видят.",tech
"Флешка не определяется компьютером, данные недоступны.",tech
"Excel не считает формулы, выдает только нули.",tech
"Принтер пишет ""нет бумаги"", хотя бумага есть, не печатает договор.",tech
После перезагрузки исчезли все ярлыки с рабочего стола.,tech
"Не могу открыть PDF, пишет ""файл поврежден"".",tech
Компьютер постоянно перезагружается сам по себе.,tech
Сканер отпечатка пальца не работает для входа в систему.,tech
"Outlook не запускается: ""не удается открыть окно Outlook"".",tech
"Не могу скопировать файлы на сетевой диск, доступ запрещен.",tech
Монитор показывает только половину экрана.,tech
Excel зависает при вставке диаграммы.,tech
"Микрофон не работает в Zoom, меня не слышно.",tech
После обновления антивируса перестали открываться браузеры.,tech
Опция двусторонней печати недоступна в настройках принтера.,tech
Компьютер не видит внешний жесткий диск.,tech
"Word не сохраняет изменения, пишет ""файл используется другой программой"".",tech
"Экран повернулся на бок, не получается вернуть обратно.",tech
Не могу отправить скан по почте — файл слишком большой.,tech
"Клавиша Shift не работает, не могу вводить пароли.",tech
"Ошибка при печати: ""недостаточно памяти принтера"".",tech
"Bluetooth-мышь не работает, курсор не двигается.",tech
После обновления Windows пропал доступ к общим папкам.,tech
Excel выдает ошибку при открытии файла с макросом.,tech
"Учетная запись заблокирована, не могу войти в систему.",tech
Принтер печатает только первую страницу из документа.,tech
"Teams не запускается: ""не удалось установить соединение"".",tech
Веб-камера на ноутбуке показывает черный экран.,tech
Файлы с рабочего стола исчезли после обновления системы.,tech
Excel не открывает файлы из сетевой папки — ошибка доступа.,tech
"Здравствуйте, милые! У меня тут на экране какая-то беленькая табличка выскочила, ничего не пойму, помогите, ради бога.",tech
"Добрый день, дорогие! Мышка моя, стрелочка, не двигается совсем, что делать — не знаю.",tech
"Компьютер вдруг как загудит, прямо как старый холодильник, страшно стало.",tech
"Милые, помогите! Нажала не туда, и все значки на экране стали крошечными, как муравьи.",tech
"Здравствуйте, родные! Не могу письмо от внучки открыть, пишет ""ошибка"", а я так жду.",tech
"Добрый день, хорошие! Клавиатура букву ""ё"" не печатает, а мне без неё никак.",tech
"Экран стал чёрный, только мышка бегает, что делать — не пойму.",tech
"Милые, помогите! Звук пропал совсем, даже музыку не послушать.",tech
"Здравствуйте, родные! Принтер не печатает, бумагу вставила, как внучок учил.",tech
"Фотографии мои куда-то делись, вчера были, а сегодня нет.",tech
"Здравствуйте, милые! При включении пишет ""пароль неверный"", а я точно помню.",tech
"Экран боком повернулся, как вернуть — не знаю.",tech
"Здравствуйте, родные! Интернет не работает, пишет ""нет подключения"", а телевизор показывает.",tech
"Добрый день, хорошие! Какая-то штучка внизу экрана выскочила, мешает читать.",tech
"Принтер молчит, лампочка горит, а ничего не печатает.",tech
"Клавиши залипают, сразу две буквы печатаются.",tech
"Здравствуйте, родные! Не могу найти кнопку ""выключить"", компьютер сам не засыпает.",tech
"Внучок показывал видео смотреть, а теперь ничего не показывает.",tech
"Здравствуйте, милые! Всё на экране стало очень большим, ничего не помещается.",tech
"Флешку не могу вставить, не лезет в дырочку.",tech
"Здравствуйте, родные! Программа для фотографий не открывается, пишет ""не отвечает"".",tech
"Компьютер сам выключился и не включается, шнур воткнут.",tech
"Здравствуйте, милые! Письмо не могу найти, всё обыскала.",tech
"Экран мигает, то светлый, то тёмный становится.",tech
"Здравствуйте, родные! Звук то есть, то пропадает совсем.",tech
"Файл с рецептами не открывается, пишет ""не поддерживается"".",tech
Принтер печатает только половину страницы.,tech
Курсор мыши сам по себе прыгает по экрану.,tech
Не могу найти значок почты на рабочем столе.,tech
Компьютер долго думает перед каждым действием.,tech
Белое окошко с крестиком не закрывается.,tech
Всё стало чёрно-белым после нажатия какой-то кнопки.,tech
Не могу отправить фотографию внучке по почте.,tech
"При запуске пишет ""ошибка диска"".",tech
"Колёсико мыши не крутится, не могу листать страницы.",tech
Текстовый файл куда-то пропал после сохранения.,tech
"Экран стал тусклым, даже если яркость на максимум.",tech
Значок браузера пропал с рабочего стола.,tech
Принтер печатает пустую страницу.,tech
Не могу вставить фотографию в письмо.,tech
Компьютер пищит при включении и не запускается.,tech
Калькулятор на компьютере не могу найти.,tech
"Кнопка ""Пуск"" не работает.",tech
При открытии документа всё расплывается.,tech
"Здравствуйте! Мой экран делать синий, я не понимать, что случаться.",tech
"Компьютер не хотеть включаться, кнопка не нажимать почему.",tech
"Добрый день! Интернет пропадать, я не мочь смотреть видео, помогите.",tech
"Принтер не печатать бумага, хотя бумага есть внутри.",tech
"Здравствуйте! Клавиатура не работать, буквы не появляться на экран.",tech
"Добрый вечер! Звук не выходить из колонки, я не слышать ничего.",tech
"Флешка не видеться, мои файлы пропадать, что делать?",tech
"Здравствуйте! Веб-камера не показывать лицо, я не мочь говорить с друг.",tech
"Добрый день! Программа закрываться сама, я не сохранять документ.",tech
"Экран мигать часто, глаза болеть, это плохо.",tech
"Здравствуйте! Не мочь открыть файл, писать ""ошибка"", что это значит?",tech
"Добрый вечер! Мышка не двигаться, курсор стоять на месте.",tech
"Компьютер сильно шуметь, как старый трактор.",tech
"Здравствуйте! Не мочь войти в почта, пароль не подходить.",tech
"Добрый день! Экран перевернуться боком, не знать как вернуть.",tech
"Вирус появиться, антивирус не ловить его.",tech
"Здравствуйте! Не мочь печатать документ, принтер говорить ""нет чернила"".",tech
"Добрый вечер! Файлы исчезать с рабочий стол, куда они уходить?",tech
"Не мочь смотреть видео, всё время грузиться.",tech
"Здравствуйте! Кнопка громкость не работать, звук пропадать.",tech
"Добрый день! Не мочь отправить письмо, сервер говорить ""ошибка"".",tech
"Компьютер сам выключаться, не спрашивать меня.",tech
Здравствуйте! Не мочь найти калькулятор на компьютер.,tech
"Добрый вечер! Экран стать очень тёмный, яркость не помогать.",tech
"Не мочь вставить флешка в дырка, она застревать.",tech
"Здравствуйте! Программа для фото не открываться, писать ""не отвечать"".",tech
Добрый день! Не мочь найти значок интернет на экран.,tech
"Клавиша Shift не работать, не мочь писать большие буквы.",tech
"Здравствуйте! Не мочь открыть браузер, значок пропадать.",tech
Добрый вечер! Компьютер долго думать перед каждый действие.,tech
"Не мочь закрыть окно, крестик не нажиматься.",tech
Здравствуйте! Экран стать чёрно-белый после нажатия кнопка.,tech
"Добрый день! Не мочь отправить фото по почта, файл слишком большой.",tech
"При запуске писать ""ошибка диска"", что делать?",tech
"Здравствуйте! Колёсико мыши не крутиться, не мочь листать страница.",tech
Добрый вечер! Текстовый файл пропадать после сохранение.,tech
"Экран стать тусклый, даже если яркость на максимум.",tech
Здравствуйте! Значок браузер пропадать с рабочий стол.,tech
"Добрый день! Принтер печатать пустая страница, хотя текст есть.",tech
Не мочь вставить фото в письмо.,tech
Здравствуйте! Компьютер пищать при включение и не запускаться.,tech
Добрый вечер! Калькулятор на компьютер не находиться.,tech
"Кнопка Пуск не работать, не мочь выключить компьютер.",tech
При открытие документ всё расплываться.,tech
"Чекни, у меня при запуске прила просто крашится, даже не успевает прогрузиться, что за дичь?",tech
"Слушай, у меня жёсткий лагает, всё фризит, работать невозможно, это просто кринж.",tech
"Привет! Бро, у меня вайфай вообще не ловит, даже в метре от роутера, чекай.",tech
"Короче, клава перестала работать после апдейта, вообще не реагирует, что за прикол?",tech
"Экран мерцает как на старом телике, глаза реально устают, помоги решить.",tech
"Привет! После обновления винды всё зависло на ""Подготовка к настройке"", уже полчаса так, что за жиза?",tech
"Мышка лагает, курсор телепается, невозможно нормально пользоваться, чекни.",tech
"Здарова! Звук пропал полностью, даже в наушниках тишина, что за треш?",tech
"Флешка не определяется, все файлы пропали, это просто дно.",tech
"Привет! Принтер жует бумагу и ничего не печатает, реально бесит, чекай.",tech
"Вылетает ошибка ""недостаточно памяти"", хотя место есть, что за бред?",tech
"Не могу подключиться к VPN, ошибка 691.",tech
"Экран стал чёрным после обновления драйверов, это вообще как?",tech
"Вебка не работает в зуме, меня не видно.",tech
"Клава печатает не те буквы, всё перепуталось.",tech
Файлы с рабочего стола исчезли после перезагрузки.,tech
"Не могу открыть PDF, пишет ""повреждён"".",tech
Комп сам перезагружается каждые 5 минут.,tech
"Сканер отпечатка не работает, не могу разблокировать.",tech
"Оутлук не запускается, ошибка ""не удаётся открыть окно"".",tech
Монитор показывает только половину экрана.,tech
"Ворд закрывается при сохранении, весь текст пропал.",tech
"Интернет пропал полностью, даже мессенджеры не работают.",tech
После обновления винды пропал звук.,tech
"Не могу залогиниться в почту, пишет неверный пароль.",tech
"МФУ сканирует только в ч/б, цвет не работает.",tech
Эксель вылетает при открытии больших таблиц.,tech
Монитор мигает каждые несколько секунд.,tech
"Не могу отправить письмо, ошибка SMTP сервера.",tech
Клава не реагирует после спящего режима.,tech
"Не могу подключиться к VPN, ошибка 800.",tech
Ворд закрывается при попытке сохранить документ.,tech
Экран стал чёрным после обновления драйверов.,tech
"Вебка не работает в тимс, коллеги меня не видят.",tech
"Флешка не определяется, данные пропали.",tech
"Эксель не считает формулы, выдаёт нули.",tech
"Принтер пишет ""нет бумаги"", хотя она есть.",tech
После перезагрузки исчезли все ярлыки с рабочего стола.,tech
"Не могу открыть PDF, пишет ""повреждён"".",tech
Комп сам перезагружается.,tech
Сканер отпечатка не работает для входа в систему.,tech
"Оутлук не запускается: ""не удаётся открыть окно"".",tech
"Не могу скопировать файлы на сетевой диск, доступ запрещён.",tech
